Calories,"Calories from
Fat","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)"
250,80,3.5,0.5,25,520,31,2,6,12
300,110,6,0.5,40,750,33,2,6,15
440,210,11,1.5,80,1150,34,2,7,25
390,170,8,1,65,920,33,2,7,22
510,230,12,1.5,90,1190,40,3,9,29
740,380,19,2.5,155,1380,40,3,9,48
540,260,10,1.5,75,1040,45,3,9,25
460,220,8,1.5,70,720,37,3,8,24
510,250,11,1.5,85,960,38,3,8,27
790,350,17,2,145,2070,63,4,13,45
750,350,16,2,135,1700,61,4,10,40
770,360,17,2,135,1170,59,4,8,44
380,170,3.5,0,40,640,38,2,5,15
360,150,3,0,35,830,40,2,5,14
500,240,10,0,70,980,44,3,11,22
360,80,2,0,65,820,41,4,8,27
510,200,3.5,0,45,990,56,3,10,24
460,150,6,0,90,1040,43,4,9,35
620,260,7,0,70,1200,57,3,11,31
380,90,3,0,75,1000,41,4,9,31
540,210,4.5,0,55,1160,56,3,11,27
400,150,3,0,45,1030,39,1,6,24
340,150,4.5,0,30,810,33,1,2,14
270,90,4,0,45,830,26,1,2,18
330,140,4.5,0,30,780,34,1,4,14
260,80,3.5,0,45,800,27,1,4,18
330,140,4.5,0,30,810,35,1,4,14
260,80,3.5,0,45,830,28,1,5,18
390,190,9,1,75,1080,28,1,4,21
800,350,18,2,145,2020,66,4,16,45
400,190,10,1,75,1060,30,1,6,21
410,220,10,1.5,75,990,27,2,3,20
430,230,10,1.5,75,730,27,2,2,22
330,170,7,1,45,690,26,1,3,15
230,100,1.5,0,0,160,29,3,0,3
380,170,2.5,0,0,270,48,5,0,4
500,220,3.5,0,0,350,63,6,0,6
15,0,0,0,0,110,3,0,2,0
0,0,0,0,0,270,0,0,0,0
190,110,2,0,25,360,12,1,0,9
280,160,3,0,40,540,18,1,0,13
470,270,5,0,65,900,30,2,0,22
50,0,0,0,0,260,12,0,10,0
50,0,0,0,0,0,12,0,11,0
60,20,0,0,5,250,9,2,6,1
50,0,0,0,0,150,12,0,10,0
400,210,3.5,0,50,1010,23,0,0,23
660,360,6,0,85,1680,39,0,0,38
60,50,1,0,0,800,1,1,0,0
170,160,3,0,10,270,2,0,1,0
60,20,0,0,5,140,10,0,8,0
60,0,0,0,0,210,15,1,11,0
320,80,3,0,70,960,30,6,11,30
430,180,4,0,55,920,38,6,12,26
140,40,2,0,10,150,20,6,6,6
260,90,4,0,90,1010,12,3,5,33
370,180,6,0,75,970,20,3,6,29
140,70,3.5,0,25,300,10,3,4,9
220,60,3,0,75,890,12,3,5,30
330,150,4.5,0,60,840,20,3,6,26
90,35,2.5,0,10,180,9,3,4,7
20,0,0,0,0,10,4,1,2,1
60,15,0,0,0,140,10,1,0,2
210,70,1.5,0,5,60,31,2,25,4
,,,,,,,,,
100,50,1,0,20,340,11,0,3,1
